request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-07. None of the available options keeps the IDR 24,768,300.00 minimum protected."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available over the next 90 days."
request_28,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,100.00 minimum protected."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,"Pay ZAR 51,524.00 today. This leaves at least ZAR 28,300.00 available over the next 90 days."
request_30,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-06. None of the available options keeps the USD 900.00 minimum protected.
request_31,18164000.0,affordable_now,full_payment,2024-09-03:18164000.00,2024-09-03,none,"Pay IDR 18,164,000.00 today. This leaves at least IDR 16,588,900.00 available over the next 90 days."
request_32,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700.00 minimum protected."
request_33,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 102,100.00 minimum protected."
request_34,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-28. None of the available options keeps the INR 138,500.00 minimum protected."
request_35,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 106,400.00 minimum protected."
request_36,3954.0,affordable_now,full_payment,2026-07-03:3954.00,2026-07-03,none,"Pay USD 3,954.00 today. This leaves at least USD 2,400.00 available over the next 90 days."
request_37,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200.00 minimum protected."
request_38,971.3,affordable_now,full_payment,2025-08-07:971.30,2025-08-07,none,Pay EUR 971.30 today. This leaves at least EUR 400.00 available over the next 90 days.
request_39,208600.0,affordable_now,full_payment,2026-04-04:208600.00,2026-04-04,none,"Pay INR 208,600.00 today. This leaves at least INR 213,400.00 available over the next 90 days."
request_40,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,500.00 minimum protected."
request_41,38760000.0,affordable_now,full_payment,2025-11-03:38760000.00,2025-11-03,none,"Pay IDR 38,760,000.00 today. This leaves at least IDR 25,366,600.00 available over the next 90 days."
request_42,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 113,100.00 minimum protected."
request_43,43339000.0,affordable_now,full_payment,2024-09-07:43339000.00,2024-09-07,none,"Pay IDR 43,339,000.00 today. This leaves at least IDR 21,398,000.00 available over the next 90 days."
