request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 24,768,300.00 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available over the next 90 days."
request_28,323.06,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,100.00 minimum protected."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,"Pay ZAR 51,524.00 today. This leaves at least ZAR 28,300.00 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. Total cost USD 806.22. This leaves at least USD 900.00 available."
request_31,5622965.87,affordable_later,wait,2024-09-15:18164000.00,2024-09-15,none,"Pay IDR 18,164,000.00 in full on 2024-09-15. Paying earlier would take the balance below the IDR 16,588,900.00 minimum."
request_32,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700.00 minimum protected."
request_33,46044.24,affordable_later,wait,2026-02-13:118000.00,2026-02-13,none,"Pay INR 118,000.00 in full on 2026-02-13. Paying earlier would take the balance below the INR 102,100.00 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500.00 available over the next 90 days."
request_35,56578.57,affordable_later,wait,2025-12-14:212000.00,2025-12-14,none,"Pay INR 212,000.00 in full on 2025-12-14. Paying earlier would take the balance below the INR 106,400.00 minimum."
request_36,920.93,affordable_later,wait,2026-08-14:3954.00,2026-08-14,none,"Pay USD 3,954.00 in full on 2026-08-14. Paying earlier would take the balance below the USD 2,400.00 minimum."
request_37,1726137.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200.00 minimum protected."
